lakeid,lakename,year4,daynum,sampledate,depth,temperature_C,dissolvedOxygen,irradianceWater,irradianceDeck,comments
T,Tuesday Lake,1990,199,7/18/90,8,4.2,0,NA,NA,NA
T,Tuesday Lake,1990,199,7/18/90,9,4.1,0,NA,NA,NA
T,Tuesday Lake,1990,199,7/18/90,10,4.1,0,NA,NA,NA
T,Tuesday Lake,1990,199,7/18/90,12,4.1,0,NA,NA,NA
L,Paul Lake,1990,204,7/23/90,0,21.7,6.5,1200,950,NA
L,Paul Lake,1990,204,7/23/90,0.25,NA,NA,935,950,NA
L,Paul Lake,1990,204,7/23/90,0.5,21.7,6.5,740,950,NA
L,Paul Lake,1990,204,7/23/90,0.75,NA,NA,605,950,NA
L,Paul Lake,1990,204,7/23/90,1,21.7,6.5,490,950,NA
L,Paul Lake,1990,204,7/23/90,1.5,21.6,6.5,298,950,NA
L,Paul Lake,1990,204,7/23/90,2,21.6,6.4,198,950,NA
L,Paul Lake,1990,204,7/23/90,2.5,21.6,6.5,134,950,NA
L,Paul Lake,1990,204,7/23/90,3,20.6,7.6,81.5,950,NA
L,Paul Lake,1990,204,7/23/90,3.5,17.7,9.1,59,950,NA
L,Paul Lake,1990,204,7/23/90,4,14.1,10.4,38,950,NA
L,Paul Lake,1990,204,7/23/90,4.5,11.2,11.2,23.5,950,NA
L,Paul Lake,1990,204,7/23/90,5,9.3,10,15.2,950,NA
L,Paul Lake,1990,204,7/23/90,5.5,8,0.7,7.9,940,NA
L,Paul Lake,1990,204,7/23/90,6,7.2,0.3,NA,NA,NA
L,Paul Lake,1990,204,7/23/90,6.5,6.6,0.2,NA,NA,NA
L,Paul Lake,1990,204,7/23/90,7,6.3,0.1,NA,NA,NA
L,Paul Lake,1990,204,7/23/90,8,5.7,0.1,NA,NA,NA
R,Peter Lake,1990,205,7/24/90,0,22.3,7.1,1040,740,NA
R,Peter Lake,1990,205,7/24/90,0.25,NA,NA,845,740,NA
R,Peter Lake,1990,205,7/24/90,0.5,22.3,7.2,705,740,NA
R,Peter Lake,1990,205,7/24/90,0.75,NA,NA,595,740,NA
R,Peter Lake,1990,205,7/24/90,1,22.2,7.2,490,740,NA
R,Peter Lake,1990,205,7/24/90,1.5,22.2,7.2,335,740,NA
R,Peter Lake,1990,205,7/24/90,2,22.2,7.2,228,730,NA
R,Peter Lake,1990,205,7/24/90,2.5,22.2,7.2,163,730,NA
R,Peter Lake,1990,205,7/24/90,3,21.7,7.2,119,730,NA
R,Peter Lake,1990,205,7/24/90,3.5,19.4,9.1,85,730,NA
R,Peter Lake,1990,205,7/24/90,4,16.4,10.8,63,730,NA
R,Peter Lake,1990,205,7/24/90,4.5,13.4,11.5,42.5,730,NA
R,Peter Lake,1990,205,7/24/90,5,11.5,11.2,36,720,NA
R,Peter Lake,1990,205,7/24/90,5.5,9.8,10.4,25.2,720,NA
R,Peter Lake,1990,205,7/24/90,6,8.3,7.7,19,720,NA
R,Peter Lake,1990,205,7/24/90,6.5,7.2,4.7,14.4,720,NA
R,Peter Lake,1990,205,7/24/90,7,6.7,4,10.9,720,NA
R,Peter Lake,1990,205,7/24/90,8,5.8,1.2,NA,NA,NA
R,Peter Lake,1990,205,7/24/90,9,5.3,0.2,NA,NA,NA
R,Peter Lake,1990,205,7/24/90,10,5,0.1,NA,NA,NA
R,Peter Lake,1990,205,7/24/90,11,4.8,0.1,NA,NA,NA
R,Peter Lake,1990,205,7/24/90,12,4.7,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,0,22.6,7.1,925,800,NA
T,Tuesday Lake,1990,206,7/25/90,0.25,NA,NA,680,800,NA
T,Tuesday Lake,1990,206,7/25/90,0.5,22.7,7.1,420,800,NA
T,Tuesday Lake,1990,206,7/25/90,0.75,NA,NA,355,800,NA
T,Tuesday Lake,1990,206,7/25/90,1,22.7,7.1,242,800,NA
T,Tuesday Lake,1990,206,7/25/90,1.5,22.6,7.1,130,795,NA
T,Tuesday Lake,1990,206,7/25/90,2,21.1,5.6,61,795,NA
T,Tuesday Lake,1990,206,7/25/90,2.5,18.1,4.1,33.5,790,NA
T,Tuesday Lake,1990,206,7/25/90,3,14,1.2,14.1,790,NA
T,Tuesday Lake,1990,206,7/25/90,3.5,10.8,0.5,6.8,785,NA
T,Tuesday Lake,1990,206,7/25/90,4,8.3,0.2,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,4.5,7.1,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,5,5.5,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,5.5,5,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,6,4.7,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,6.5,4.4,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,7,4.3,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,8,4.2,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,9,4.2,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,10,4.2,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,11,4.1,0.1,NA,NA,NA
T,Tuesday Lake,1990,206,7/25/90,12,4.1,0.1,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,0,23.4,6.8,1120,850,NA
E,East Long Lake,1990,207,7/26/90,0.25,NA,NA,720,850,NA
E,East Long Lake,1990,207,7/26/90,0.5,23.4,6.8,490,850,NA
E,East Long Lake,1990,207,7/26/90,0.75,NA,NA,365,850,NA
E,East Long Lake,1990,207,7/26/90,1,23.4,6.7,223,850,NA
E,East Long Lake,1990,207,7/26/90,1.5,23.2,6.6,122,850,NA
E,East Long Lake,1990,207,7/26/90,2,22.7,6.4,54,850,NA
E,East Long Lake,1990,207,7/26/90,2.5,21.9,6,31,850,NA
E,East Long Lake,1990,207,7/26/90,3,19.8,2.9,9,850,NA
E,East Long Lake,1990,207,7/26/90,3.5,16.1,1.3,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,4,13,0.6,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,4.5,10.3,0.3,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,5,8.6,0.1,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,5.5,7.4,0.1,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,6,6.4,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,6.5,5.7,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,7,5.3,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,8,4.8,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,9,4.7,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,10,4.7,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,11,4.6,0,NA,NA,NA
E,East Long Lake,1990,207,7/26/90,12,4.6,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,0,23.2,7.3,390,390,NA
W,West Long Lake,1990,208,7/27/90,0.25,NA,NA,252,390,NA
W,West Long Lake,1990,208,7/27/90,0.5,23.2,7.4,166,390,NA
W,West Long Lake,1990,208,7/27/90,0.75,NA,NA,130,390,NA
W,West Long Lake,1990,208,7/27/90,1,23.2,7.4,87.5,390,NA
W,West Long Lake,1990,208,7/27/90,1.5,23.2,7.4,50,390,NA
W,West Long Lake,1990,208,7/27/90,2,23,7,31.5,390,NA
W,West Long Lake,1990,208,7/27/90,2.5,21.8,6.6,18.5,400,NA
W,West Long Lake,1990,208,7/27/90,3,18.5,3,10.7,400,NA
W,West Long Lake,1990,208,7/27/90,3.5,15.6,2.3,6,400,NA
W,West Long Lake,1990,208,7/27/90,4,13,0.4,3.6,405,NA
W,West Long Lake,1990,208,7/27/90,4.5,9.8,0.1,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,5,8.6,0.1,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,5.5,7.2,0.1,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,6,6.5,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,6.5,5.7,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,7,5.5,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,8,5.3,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,9,5.3,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,10,5.2,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,11,5.2,0,NA,NA,NA
W,West Long Lake,1990,208,7/27/90,12,5.2,0,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,0,21.9,8.2,1450,1150,NA
L,Paul Lake,1990,211,7/30/90,0.25,NA,NA,1200,1150,NA
L,Paul Lake,1990,211,7/30/90,0.5,22,7.8,950,1000,NA
L,Paul Lake,1990,211,7/30/90,0.75,NA,NA,770,1000,NA
L,Paul Lake,1990,211,7/30/90,1,22,7.7,600,950,NA
L,Paul Lake,1990,211,7/30/90,1.5,22,7.5,330,900,NA
L,Paul Lake,1990,211,7/30/90,2,21.9,7.5,310,880,NA
L,Paul Lake,1990,211,7/30/90,2.5,21.9,7.5,200,950,NA
L,Paul Lake,1990,211,7/30/90,3,20,8.6,140,1050,NA
L,Paul Lake,1990,211,7/30/90,3.5,17.5,10.3,110,1200,NA
L,Paul Lake,1990,211,7/30/90,4,14.3,11,45,900,NA
L,Paul Lake,1990,211,7/30/90,4.5,11.8,10.8,25,570,NA
L,Paul Lake,1990,211,7/30/90,5,9.6,6.5,15.5,610,NA
L,Paul Lake,1990,211,7/30/90,5.5,8.2,0.2,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,6,7.3,0.1,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,6.5,6.7,0,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,7,6.3,0,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,8,5.7,0,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,9,5.4,0,NA,NA,NA
L,Paul Lake,1990,211,7/30/90,10,5.2,0,NA,NA,NA
R,Peter Lake,1990,212,7/31/90,0,21.7,8,1380,1140,NA
R,Peter Lake,1990,212,7/31/90,0.25,NA,NA,1150,1140,NA
R,Peter Lake,1990,212,7/31/90,0.5,21.7,8.1,915,1140,NA
R,Peter Lake,1990,212,7/31/90,0.75,NA,NA,770,1140,NA
R,Peter Lake,1990,212,7/31/90,1,21.7,7.8,640,1140,NA
R,Peter Lake,1990,212,7/31/90,1.5,21.6,7.8,445,1140,NA
R,Peter Lake,1990,212,7/31/90,2,21.6,7.6,315,1140,NA
R,Peter Lake,1990,212,7/31/90,2.5,21.6,7.6,212,1140,NA
R,Peter Lake,1990,212,7/31/90,3,21.5,7.6,150,1140,NA
R,Peter Lake,1990,212,7/31/90,3.5,20.5,8.9,109,1140,NA
R,Peter Lake,1990,212,7/31/90,4,16.9,11.4,79,1140,NA
R,Peter Lake,1990,212,7/31/90,4.5,14.2,11.3,58,1140,NA
R,Peter Lake,1990,212,7/31/90,5,11.8,11.3,43,1140,NA
R,Peter Lake,1990,212,7/31/90,5.5,10.1,10.1,33.5,1140,NA
R,Peter Lake,1990,212,7/31/90,6,8.6,8.7,24,1140,NA
R,Peter Lake,1990,212,7/31/90,6.5,7.5,5.3,17.8,1140,NA
R,Peter Lake,1990,212,7/31/90,7,6.7,3.6,13.5,1140,NA
R,Peter Lake,1990,212,7/31/90,8,5.8,1.4,NA,NA,NA
R,Peter Lake,1990,212,7/31/90,9,5.6,0.8,NA,NA,NA
R,Peter Lake,1990,212,7/31/90,10,5.1,0.5,NA,NA,NA
R,Peter Lake,1990,212,7/31/90,11,4.8,0.3,NA,NA,NA
R,Peter Lake,1990,212,7/31/90,12,4.7,0.3,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,0,21.8,7.3,1380,1020,NA
T,Tuesday Lake,1990,213,8/1/90,0.25,NA,NA,885,1020,NA
T,Tuesday Lake,1990,213,8/1/90,0.5,21.7,7.3,625,1020,NA
T,Tuesday Lake,1990,213,8/1/90,0.75,NA,NA,455,1020,NA
T,Tuesday Lake,1990,213,8/1/90,1,21.6,7.1,335,1020,NA
T,Tuesday Lake,1990,213,8/1/90,1.5,21.5,7.1,171,1020,NA
T,Tuesday Lake,1990,213,8/1/90,2,21.4,6.8,100,1020,NA
T,Tuesday Lake,1990,213,8/1/90,2.5,18.6,3.9,46.5,1020,NA
T,Tuesday Lake,1990,213,8/1/90,3,14.4,0.6,21.4,1020,NA
T,Tuesday Lake,1990,213,8/1/90,3.5,10.8,0.4,10,1020,NA
T,Tuesday Lake,1990,213,8/1/90,4,8.5,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,4.5,6.8,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,5,5.5,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,5.5,5,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,6,4.7,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,6.5,4.6,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,7,4.4,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,8,4.2,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,9,4.1,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,10,4.1,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,11,4.1,0.1,NA,NA,NA
T,Tuesday Lake,1990,213,8/1/90,12,4.1,0.1,NA,NA,NA
L,Paul Lake,1990,218,8/6/90,0,21,7.2,1250,1100,NA
L,Paul Lake,1990,218,8/6/90,0.25,NA,NA,1050,1100,NA
L,Paul Lake,1990,218,8/6/90,0.5,21.1,7.5,820,1100,NA
L,Paul Lake,1990,218,8/6/90,0.75,NA,NA,670,1100,NA
L,Paul Lake,1990,218,8/6/90,1,21,7.6,540,1100,NA
L,Paul Lake,1990,218,8/6/90,1.5,21,7.6,360,1100,NA
L,Paul Lake,1990,218,8/6/90,2,20.9,7.4,240,1100,NA
L,Paul Lake,1990,218,8/6/90,2.5,20.9,7.3,165,1100,NA
L,Paul Lake,1990,218,8/6/90,3,20.8,7.3,115,1100,NA
L,Paul Lake,1990,218,8/6/90,3.5,18.1,9.5,77,1100,NA
L,Paul Lake,1990,218,8/6/90,4,14.9,10.1,54,1100,NA
L,Paul Lake,1990,218,8/6/90,4.5,12.5,10.6,39,1100,NA
L,Paul Lake,1990,218,8/6/90,5,10.5,7.2,25,1100,NA
L,Paul Lake,1990,218,8/6/90,5.5,8.6,1,15.2,1100,NA
L,Paul Lake,1990,218,8/6/90,6,7.7,0.8,6.2,1100,NA
L,Paul Lake,1990,218,8/6/90,6.5,6.9,0.6,NA,NA,NA
L,Paul Lake,1990,218,8/6/90,7,6.4,0.6,NA,NA,NA
L,Paul Lake,1990,218,8/6/90,8,5.8,0.5,NA,NA,NA
L,Paul Lake,1990,218,8/6/90,9,5.4,0.4,NA,NA,NA
L,Paul Lake,1990,218,8/6/90,10,5.3,0.4,NA,NA,NA
R,Peter Lake,1990,219,8/7/90,0,21.4,7.3,360,275,NA
R,Peter Lake,1990,219,8/7/90,0.25,NA,NA,330,275,NA
R,Peter Lake,1990,219,8/7/90,0.5,21.4,7.5,265,330,NA
R,Peter Lake,1990,219,8/7/90,0.75,NA,NA,240,330,NA
R,Peter Lake,1990,219,8/7/90,1,21.4,7.4,200,330,NA
R,Peter Lake,1990,219,8/7/90,1.5,21.3,7.4,145,380,NA
R,Peter Lake,1990,219,8/7/90,2,21.3,7.4,125,380,NA
R,Peter Lake,1990,219,8/7/90,2.5,21.3,7.4,83,380,NA
R,Peter Lake,1990,219,8/7/90,3,21.3,7.2,64,380,NA
R,Peter Lake,1990,219,8/7/90,3.5,21,7.5,48,420,NA
R,Peter Lake,1990,219,8/7/90,4,17.8,10.4,39,420,NA
R,Peter Lake,1990,219,8/7/90,4.5,15,11.2,32,420,NA
R,Peter Lake,1990,219,8/7/90,5,12.3,10.9,24,580,NA
R,Peter Lake,1990,219,8/7/90,5.5,10.7,9.8,22,580,NA
R,Peter Lake,1990,219,8/7/90,6,9,7.2,32,1200,NA
R,Peter Lake,1990,219,8/7/90,6.5,8.1,5.8,23,1200,NA
R,Peter Lake,1990,219,8/7/90,7,7,3.3,17.5,1200,NA
R,Peter Lake,1990,219,8/7/90,8,6,1.6,10,1200,NA
R,Peter Lake,1990,219,8/7/90,9,5.4,0.7,NA,NA,NA
R,Peter Lake,1990,219,8/7/90,10,5.1,0.5,NA,NA,NA
R,Peter Lake,1990,219,8/7/90,11,4.8,0.5,NA,NA,NA
R,Peter Lake,1990,219,8/7/90,12,4.7,0.4,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,0,21.3,7.5,1100,870,NA
T,Tuesday Lake,1990,220,8/8/90,0.25,NA,NA,770,870,NA
T,Tuesday Lake,1990,220,8/8/90,0.5,21.3,7.4,540,870,NA
T,Tuesday Lake,1990,220,8/8/90,0.75,NA,NA,390,870,NA
T,Tuesday Lake,1990,220,8/8/90,1,21.2,7.1,260,870,NA
T,Tuesday Lake,1990,220,8/8/90,1.5,21.2,7,145,870,NA
T,Tuesday Lake,1990,220,8/8/90,2,21.1,6.7,75,870,NA
T,Tuesday Lake,1990,220,8/8/90,2.5,19.2,2.8,40,870,NA
T,Tuesday Lake,1990,220,8/8/90,3,14.3,0.5,17,870,NA
T,Tuesday Lake,1990,220,8/8/90,3.5,11.2,0.4,8,870,NA
T,Tuesday Lake,1990,220,8/8/90,4,8.6,0.3,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,4.5,6.9,0.3,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,5,5.7,0.5,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,5.5,5.1,0.5,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,6,4.8,0.5,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,6.5,4.5,0.5,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,7,4.4,0.4,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,8,4.2,0.4,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,9,4.1,0.4,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,10,4.1,0.4,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,11,4.1,0.3,NA,NA,NA
T,Tuesday Lake,1990,220,8/8/90,12,4.1,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,0,21.9,7.3,370,350,NA
E,East Long Lake,1990,221,8/9/90,0.25,NA,NA,240,400,NA
E,East Long Lake,1990,221,8/9/90,0.5,21.9,7.2,155,400,NA
E,East Long Lake,1990,221,8/9/90,0.75,NA,NA,120,450,NA
E,East Long Lake,1990,221,8/9/90,1,21.9,7.1,78,430,NA
E,East Long Lake,1990,221,8/9/90,1.5,21.9,7.1,42,420,NA
E,East Long Lake,1990,221,8/9/90,2,21.9,7,23,420,NA
E,East Long Lake,1990,221,8/9/90,2.5,21.8,7,13,420,NA
E,East Long Lake,1990,221,8/9/90,3,19.9,0.7,8,420,NA
E,East Long Lake,1990,221,8/9/90,3.5,16.4,0.2,5,420,NA
E,East Long Lake,1990,221,8/9/90,4,13.3,0.2,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,4.5,10.9,0.2,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,5,8.8,0.2,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,5.5,7.3,0.2,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,6,6.4,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,6.5,5.8,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,7,5.3,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,8,4.9,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,10,4.7,0.3,NA,NA,NA
E,East Long Lake,1990,221,8/9/90,12,4.6,0.3,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,0,20.8,7.9,230,250,NA
W,West Long Lake,1990,222,8/10/90,0.25,NA,NA,155,250,NA
W,West Long Lake,1990,222,8/10/90,0.5,20.8,7.6,95,250,NA
W,West Long Lake,1990,222,8/10/90,0.75,NA,NA,65,250,NA
W,West Long Lake,1990,222,8/10/90,1,20.8,7.4,51,250,NA
W,West Long Lake,1990,222,8/10/90,1.5,20.8,7.4,25.5,250,NA
W,West Long Lake,1990,222,8/10/90,2,20.8,7.4,14.5,250,NA
W,West Long Lake,1990,222,8/10/90,2.5,20.8,7.3,8.8,250,NA
W,West Long Lake,1990,222,8/10/90,3,19.5,2.6,5.3,250,NA
W,West Long Lake,1990,222,8/10/90,3.5,16,0.7,3.2,250,NA
W,West Long Lake,1990,222,8/10/90,4,12.9,0.7,1.8,250,NA
W,West Long Lake,1990,222,8/10/90,4.5,10.6,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,5,8.5,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,5.5,7.3,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,6,6.3,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,6.5,5.9,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,7,5.6,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,8,5.4,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,9,5.3,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,10,5.3,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,11,5.3,0.6,NA,NA,NA
W,West Long Lake,1990,222,8/10/90,12,5.2,0.6,NA,NA,NA
L,Paul Lake,1990,225,8/13/90,0,20.2,6.9,1350,1100,NA
L,Paul Lake,1990,225,8/13/90,0.25,NA,NA,1100,1100,NA
L,Paul Lake,1990,225,8/13/90,0.5,20.1,6.8,900,1100,NA
L,Paul Lake,1990,225,8/13/90,0.75,NA,NA,725,1100,NA
L,Paul Lake,1990,225,8/13/90,1,20.1,6.7,590,1100,NA
L,Paul Lake,1990,225,8/13/90,1.5,20,6.6,400,1100,NA
L,Paul Lake,1990,225,8/13/90,2,20,6.6,265,1100,NA
L,Paul Lake,1990,225,8/13/90,2.5,19.9,6.4,180,1100,NA
L,Paul Lake,1990,225,8/13/90,3,19.9,6.4,125,1100,NA
L,Paul Lake,1990,225,8/13/90,3.5,18.5,6.7,88,1100,NA
L,Paul Lake,1990,225,8/13/90,4,15.6,9,60,1100,NA
L,Paul Lake,1990,225,8/13/90,4.5,12.7,9.3,41,1100,NA
L,Paul Lake,1990,225,8/13/90,5,10.6,3.4,29,1100,NA
L,Paul Lake,1990,225,8/13/90,5.5,9.2,0.7,18,1100,NA
L,Paul Lake,1990,225,8/13/90,6,7.8,0.2,8.8,1100,NA
L,Paul Lake,1990,225,8/13/90,6.5,6.9,0.2,NA,NA,NA
L,Paul Lake,1990,225,8/13/90,7,6.4,0.2,NA,NA,NA
L,Paul Lake,1990,225,8/13/90,8,5.8,0.1,NA,NA,NA
L,Paul Lake,1990,225,8/13/90,9,5.5,0.1,NA,NA,NA
R,Peter Lake,1990,226,8/14/90,0,20.7,7.7,490,435,NA
R,Peter Lake,1990,226,8/14/90,0.25,NA,NA,410,435,NA
R,Peter Lake,1990,226,8/14/90,0.5,20.7,7.7,330,435,NA
R,Peter Lake,1990,226,8/14/90,0.75,NA,NA,260,410,NA
R,Peter Lake,1990,226,8/14/90,1,20.7,7.6,214,410,NA
R,Peter Lake,1990,226,8/14/90,1.5,20.7,7.6,149,410,NA
R,Peter Lake,1990,226,8/14/90,2,20.7,7.6,115,410,NA
R,Peter Lake,1990,226,8/14/90,2.5,20.7,7.6,76,410,NA
R,Peter Lake,1990,226,8/14/90,3,20.6,7.6,56,410,NA
R,Peter Lake,1990,226,8/14/90,3.5,20.6,7.6,41,410,NA
R,Peter Lake,1990,226,8/14/90,4,18.3,10.1,31,410,NA
R,Peter Lake,1990,226,8/14/90,4.5,15.7,11,22.5,410,NA
R,Peter Lake,1990,226,8/14/90,5,12.8,10.9,17,410,NA
R,Peter Lake,1990,226,8/14/90,5.5,10.8,10,13.1,850,NA
R,Peter Lake,1990,226,8/14/90,6,9.3,5.7,9.3,850,NA
R,Peter Lake,1990,226,8/14/90,6.5,8.1,4.3,6.6,850,NA
R,Peter Lake,1990,226,8/14/90,7,7.2,3.1,5.2,395,NA
R,Peter Lake,1990,226,8/14/90,8,6.1,1.5,5.4,760,NA
R,Peter Lake,1990,226,8/14/90,9,5.6,0.5,NA,NA,NA
R,Peter Lake,1990,226,8/14/90,10,5.1,0.2,NA,NA,NA
R,Peter Lake,1990,226,8/14/90,11,4.8,0.1,NA,NA,NA
R,Peter Lake,1990,226,8/14/90,12,4.6,0.1,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,0,21,7,1300,995,NA
T,Tuesday Lake,1990,227,8/15/90,0.25,NA,NA,890,995,NA
T,Tuesday Lake,1990,227,8/15/90,0.5,20.9,6.9,630,1000,NA
T,Tuesday Lake,1990,227,8/15/90,0.75,NA,NA,450,1005,NA
T,Tuesday Lake,1990,227,8/15/90,1,20.8,6.7,335,1010,NA
T,Tuesday Lake,1990,227,8/15/90,1.5,20.8,6.7,170,1015,NA
T,Tuesday Lake,1990,227,8/15/90,2,20.5,6.3,89,1020,NA
T,Tuesday Lake,1990,227,8/15/90,2.5,18.9,1.4,48.5,1030,NA
T,Tuesday Lake,1990,227,8/15/90,3,15.6,0.2,21.2,1040,NA
T,Tuesday Lake,1990,227,8/15/90,3.5,11.5,0.2,9.7,1050,NA
T,Tuesday Lake,1990,227,8/15/90,4,9.1,0.1,4.7,1060,NA
T,Tuesday Lake,1990,227,8/15/90,4.5,7,0,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,5,5.9,0,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,5.5,5.2,0.1,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,6,4.8,0.1,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,6.5,4.5,0.1,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,7,4.3,0.1,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,8,4.2,0.2,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,9,4.2,0.2,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,10,4.2,0.2,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,11,4.1,0.2,NA,NA,NA
T,Tuesday Lake,1990,227,8/15/90,12,4.1,0.2,NA,NA,NA
L,Paul Lake,1990,232,8/20/90,0,19.7,6.8,740,650,NA
L,Paul Lake,1990,232,8/20/90,0.25,NA,NA,620,1100,NA
L,Paul Lake,1990,232,8/20/90,0.5,19.7,6.8,475,1000,NA
L,Paul Lake,1990,232,8/20/90,0.75,NA,NA,360,900,NA
L,Paul Lake,1990,232,8/20/90,1,19.7,6.6,570,800,NA
L,Paul Lake,1990,232,8/20/90,1.5,19.7,6.7,245,640,NA
L,Paul Lake,1990,232,8/20/90,2,19.7,6.8,240,995,NA
L,Paul Lake,1990,232,8/20/90,2.5,19.7,6.7,200,1000,NA
L,Paul Lake,1990,232,8/20/90,3,19.6,6.8,75,580,NA
L,Paul Lake,1990,232,8/20/90,3.5,19.3,7,60,650,NA
L,Paul Lake,1990,232,8/20/90,4,16.4,8.2,40,650,NA
L,Paul Lake,1990,232,8/20/90,4.5,13.3,8.3,32,650,NA
L,Paul Lake,1990,232,8/20/90,5,11.3,5.3,22,750,NA
L,Paul Lake,1990,232,8/20/90,5.5,9.5,0.2,20,1300,NA
