CAS Number,Chemical Name,Chemical Grade,Chemical Analysis Method,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Organism Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Author),Conc 1 (Author),Conc 1 Units (Author),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,NR,Not reported,"Environmental, unspecified",Not reported,Lab,NR,Active ingredient,NR,AI mg/L,Mortality,Mortality,NR,Not reported,1,Day(s),"Badawy,M.E.I., H.M. Nasr, and E.I. Rabea",173554,Toxicity and Biochemical Changes in the Honey Bee Apis mellifera Exposed to Four Insecticides Under Laboratory Conditions,Apidologie46:177-193,2015,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient 0.6 - 60.0 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,NR,Not reported,"Environmental, unspecified",Not reported,Lab,NR,Active ingredient,NR,AI mg/L,Enzyme(s),Polyphenol oxidase,NR,Head,1,Day(s),"Badawy,M.E.I., H.M. Nasr, and E.I. Rabea",173554,Toxicity and Biochemical Changes in the Honey Bee Apis mellifera Exposed to Four Insecticides Under Laboratory Conditions,Apidologie46:177-193,2015,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient 0.6 - 60.0 AI mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Adult,NR,Not reported,"Topical, general",No substrate,Lab,2,Active ingredient,0.0600/,ai g/L,Mortality,Mortality,NR-LETH,Not reported,<=3,Day(s),"Costa,E.M., E.L. Araujo, A.V.P. Maia, F.E.L. Silva, C.E.S. Bezerra, and J.G. Silva",168417,Toxicity of Insecticides Used in the Brazilian Melon Crop to the Honey Bee Apis mellifera Under Laboratory Conditions,Apidologie45:34-44,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ ai g/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,5,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Not reported,NR,Not reported,Food,No substrate,Lab,2,Active ingredient,100/,AI ppm food,Mortality,Mortality,NR-ZERO,Not reported,1,Day(s),"Laurino,D., M. Porporato, A. Patetta, and A. Manino",152655,Toxicity of Neonicotinoid Insecticides to Honey Bees: Laboratory Tests,Bull. Insectol.64(1): 107-113,2011,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ AI ppm food | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,5,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Not reported,NR,Not reported,"Environmental, unspecified",Litter,Lab,2,Active ingredient,100/,AI ppm,Mortality,Mortality,NR-ZERO,Not reported,3,Day(s),"Laurino,D., M. Porporato, A. Patetta, and A. Manino",152655,Toxicity of Neonicotinoid Insecticides to Honey Bees: Laboratory Tests,Bull. Insectol.64(1): 107-113,2011,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ AI ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Apis mellifera,Honey Bee,Insects/Spiders; Standard Test Species; U.S. Invasive Species,Not reported,NR,Not reported,"Environmental, unspecified",Filter paper,Lab,1,Formulation,50/,ppm,Mortality,Mortality,NR-ZERO,Not reported,1,Day(s),"Stanley,J., K. Sah, S.K. Jain, J.C. Bhatt, and S.N. Sushil",168437,"Evaluation of Pesticide Toxicity at Their Field Recommended Doses to Honeybees, Apis cerana and A. mellifera Through Laboratory, Semi-Field and Field Studies",Chemosphere119:668-674,2015,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ ppm | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,>99,Apis mellifera ssp. carnica,Carniolan Honey Bee,Insects/Spiders,Adult,NR,Not reported,Food,No substrate,Lab,5,Active ingredient,80000,ng/ml fd,Genetics,Catalase mRNA,LOEL,Brain,1,Day(s),"Christen,V., F. Mittner, and K. Fent",173146,Molecular Effects of Neonicotinoids in Honey Bees (Apis mellifera),Environ. Sci. Technol.50:4071-4081,2016,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR ng/ml fd | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Apis mellifera ssp. carnica,Carniolan Honey Bee,Insects/Spiders,Not reported,NR,Not reported,Spray,No substrate,Field natural,2,Formulation,0.125/,kg/ha,Genetics,Catalase mRNA,LOEL,Brain,1,Day(s),"Christen,V., F. Mittner, and K. Fent",173146,Molecular Effects of Neonicotinoids in Honey Bees (Apis mellifera),Environ. Sci. Technol.50:4071-4081,2016,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ kg/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,>99,Apis mellifera ssp. carnica,Carniolan Honey Bee,Insects/Spiders,Adult,NR,Not reported,Food,No substrate,Lab,5,Active ingredient,8000,ng/ml fd,Genetics,Catalase mRNA,NOEL,Brain,1,Day(s),"Christen,V., F. Mittner, and K. Fent",173146,Molecular Effects of Neonicotinoids in Honey Bees (Apis mellifera),Environ. Sci. Technol.50:4071-4081,2016,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR ng/ml fd | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,>99,Apis mellifera ssp. carnica,Carniolan Honey Bee,Insects/Spiders,Adult,NR,Not reported,Food,No substrate,Lab,2,Active ingredient,8/,ng/org,Genetics,Vitellogenin mRNA,NOEL,Brain,3,Day(s),"Christen,V., S. Bachofer, and K. Fent",175423,Binary Mixtures of Neonicotinoids Show Different Transcriptional Changes than Single Neonicotinoids in Honeybees (Apis mellifera),Environ. Pollut.220:1264-1270,2017,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ ng/org | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Arachnida,Spider/Mite Class,Insects/Spiders,Not reported,NR,Not reported,Foliar spray,No substrate,Field natural,2,Formulation,75/,g/ha,Population,Abundance,LOEL,Not reported,7,Day(s),"Kumar,R., S. Kranthi, M. Nitharwal, S.L. Jat, and D. Monga",169080,Influence of Pesticides and Application Methods on Pest and Predatory Arthropods Associated with Cotton,Phytoparasitica40:417-424,2012,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Arachnida,Spider/Mite Class,Insects/Spiders,Not reported,NR,Not reported,"Environmental, unspecified",No substrate,Field natural,2,Formulation,0.048/,%,Population,Abundance,LOEL,Not reported,7,Day(s),"Kumar,R., S. Kranthi, M. Nitharwal, S.L. Jat, and D. Monga",169080,Influence of Pesticides and Application Methods on Pest and Predatory Arthropods Associated with Cotton,Phytoparasitica40:417-424,2012,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ % | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,70,Arachnida,Spider/Mite Class,Insects/Spiders,Not reported,NR,Not reported,Hand spray,No substrate,Field natural,2,Active ingredient,0.05/,AI kg/ha,Population,Abundance,NOEL,Not reported,<=1,Growing season,"Kilpatrick,A.L., A.M. Hagerty, S.G. Turnipseed, M.J. Sullivan, and W.C.,Jr. Bridges",101700,Activity of Selected Neonicotinoids and Dicrotophos on Nontarget Arthropods in Cotton: Implications in Insect Management,J. Econ. Entomol.98(3): 814-820,2005,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ AI kg/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,25,Araneae,Araneoid Spider Order,Insects/Spiders,Not reported,NR,Not reported,"Environmental, unspecified",Natural soil,Field natural,3,Formulation,84,g/ha,Population,Abundance,NOEL,Not reported,~45.66,Day(s),"Naranjo,S.E., and D.H. Akey",170880,Conservation of Natural Enemies in Cotton: Comparative Selectivity of Acetamiprid in the Management of Bemisia tabaci,Pest Manag. Sci.61(6): 555-566,2005,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR - NR g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,25,Araneae,Araneoid Spider Order,Insects/Spiders,Not reported,NR,Not reported,"Environmental, unspecified",Natural soil,Field natural,4,Formulation,112,g/ha,Population,Abundance,NOEL,Not reported,~30.44,Day(s),"Naranjo,S.E., and D.H. Akey",170880,Conservation of Natural Enemies in Cotton: Comparative Selectivity of Acetamiprid in the Management of Bemisia tabaci,Pest Manag. Sci.61(6): 555-566,2005,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR - NR g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Araneae,Araneoid Spider Order,Insects/Spiders,Not reported,NR,Not reported,Ground spray,No substrate,Field natural,2,Formulation,1000/,L/ha,Population,Abundance,NOEL,Not reported,11,Day(s),"Fitzgerald,J.",80219,"Laboratory Bioassays and Field Evaluation of Insecticides for the Control of Anthonomus rubi, Lygus rugulipennis and Chaetosiphon fragaefolii, and Effects on Beneficial Species, in UK Strawberry Production",Crop Prot.23(9): 801-809,2004,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ L/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Egg,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Mortality,Mortality,LOEL,Not reported,NR,Maturity,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Larva,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Mortality,Mortality,LOEL,Not reported,NR,Larva to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Pupa,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Mortality,Mortality,LOEL,Not reported,NR,Pupa to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Egg,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Maturity,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Egg,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Maturity,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Larva,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Larva to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Larva,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Larva to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Pupa,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Pupa to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,"Technical grade, technical product, technical formulation",Unmeasured,96,Asecodes hispinarum,Eulophid Wasp,Insects/Spiders,Pupa,NR,Not reported,Dipped or soaked,No substrate,Lab,2,Active ingredient,1.81/,mg/L,Reproduction,Viability,NOEL,Not reported,NR,Pupa to adult,"Jin,T., Y.Y. Lin, Q.A. Jin, H.B. Wen, and Z.Q. Peng",173884,Sublethal Effect of Avermectin and Acetamiprid on the Mortality of Different Life Stages of Brontispa longissima (Gestro) (Coleoptera: Hispidae) and Its Larvae Parasitoid Asecodes hispinarum Boucek (Hymenoptera: Eulophi,Crop Prot.58:55-60,2014,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR/ - NR/ mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Not reported,NR,Not reported,Foliar spray,No substrate,Field natural,2,Formulation,75/,g/ha,Population,Abundance,LOEL,Not reported,7,Day(s),"Kumar,R., S. Kranthi, M. Nitharwal, S.L. Jat, and D. Monga",169080,Influence of Pesticides and Application Methods on Pest and Predatory Arthropods Associated with Cotton,Phytoparasitica40:417-424,2012,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,20,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Not reported,NR,Not reported,"Environmental, unspecified",No substrate,Field natural,2,Formulation,0.048/,%,Population,Abundance,LOEL,Not reported,7,Day(s),"Kumar,R., S. Kranthi, M. Nitharwal, S.L. Jat, and D. Monga",169080,Influence of Pesticides and Application Methods on Pest and Predatory Arthropods Associated with Cotton,Phytoparasitica40:417-424,2012,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Formulation NR/ - NR/ % | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Adult,NR,Not reported,"Environmental, unspecified",Unknown soil,Field natural,2,Active ingredient,75,AI g/ha,Population,Abundance,NOEL,Not reported,7,Day(s),"Naveed,M., A. Salam, M.A. Saleem, and A.H. Sayyed",109059,"Effect of Foliar Applications of Some Insecticides on Bemisia tabaci, Predators and Parasitoids: Implications in Its Management in Pakistan",Phytoparasitica36(4): 377-387,2008,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR AI g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Nymph,NR,Not reported,"Environmental, unspecified",Unknown soil,Field natural,2,Active ingredient,75,AI g/ha,Population,Abundance,NOEL,Not reported,3,Day(s),"Naveed,M., A. Salam, M.A. Saleem, and A.H. Sayyed",109059,"Effect of Foliar Applications of Some Insecticides on Bemisia tabaci, Predators and Parasitoids: Implications in Its Management in Pakistan",Phytoparasitica36(4): 377-387,2008,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR AI g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Nymph,NR,Not reported,"Environmental, unspecified",Unknown soil,Field natural,2,Active ingredient,75,AI g/ha,Population,Abundance,NOEL,Not reported,7,Day(s),"Naveed,M., A. Salam, M.A. Saleem, and A.H. Sayyed",109059,"Effect of Foliar Applications of Some Insecticides on Bemisia tabaci, Predators and Parasitoids: Implications in Its Management in Pakistan",Phytoparasitica36(4): 377-387,2008,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR AI g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
135410207,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,Not reported,Unmeasured,NR,Bemisia tabaci,Sweetpotato Whitefly,Insects/Spiders; U.S. Invasive Species,Adult,NR,Not reported,"Environmental, unspecified",Unknown soil,Field natural,2,Active ingredient,75,AI g/ha,Population,Abundance,NOEL,Not reported,3,Day(s),"Naveed,M., A. Salam, M.A. Saleem, and A.H. Sayyed",109059,"Effect of Foliar Applications of Some Insecticides on Bemisia tabaci, Predators and Parasitoids: Implications in Its Management in Pakistan",Phytoparasitica36(4): 377-387,2008,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient NR - NR AI g/ha | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
